epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.424,1.11285,4.96826,1.18835,0,0,0,0,0.99372,5.11688,1.09126,9.76e-06,9.76e-06,9.76e-06
2,309.835,1.20447,5.00442,1.19138,0,0,0,0,0.99767,5.11008,1.09027,2.03293e-05,2.03293e-05,2.03293e-05
3,451.202,1.12725,4.9141,1.22705,0,0,0,0,1.01041,5.1042,1.09362,3.04639e-05,3.04639e-05,3.04639e-05
4,592.108,1.12276,4.88498,1.18383,0,0,0,0,1.00656,5.0961,1.09416,4.01636e-05,4.01636e-05,4.01636e-05
5,734.185,1.14503,4.76971,1.18183,0,0,0,0,1.01577,5.06956,1.09943,4.94285e-05,4.94285e-05,4.94285e-05
6,874.352,1.0502,4.65319,1.15154,0.01629,0.00145,0.00886,0.00795,1.03886,5.01477,1.11514,5.82587e-05,5.82587e-05,5.82587e-05
7,1012.59,1.13542,4.51786,1.15799,0.01238,0.00402,0.0084,0.00695,1.07306,4.93326,1.13312,6.6654e-05,6.6654e-05,6.6654e-05
8,1154.14,1.11503,4.34924,1.16847,0.00886,0.00592,0.00782,0.0062,1.10251,4.80616,1.14632,7.46145e-05,7.46145e-05,7.46145e-05
9,1292.42,1.1359,4.31153,1.1826,0.01133,0.03166,0.01527,0.01287,1.13879,4.62393,1.17815,8.21402e-05,8.21402e-05,8.21402e-05
10,1433.01,1.05731,4.05035,1.14294,0.01148,0.05068,0.01747,0.01451,1.16656,4.47702,1.20137,8.9231e-05,8.9231e-05,8.9231e-05
11,1576.78,1.10613,3.90956,1.16277,0.01079,0.07058,0.01987,0.0158,1.18676,4.31704,1.21679,9.58871e-05,9.58871e-05,9.58871e-05
12,1717.17,1.10466,3.85755,1.1532,0.01261,0.09504,0.0293,0.02467,1.19234,4.15865,1.22006,9.54284e-05,9.54284e-05,9.54284e-05
13,1860.3,1.15646,3.79539,1.16165,0.01472,0.11723,0.04226,0.03221,1.2084,4.10193,1.23432,9.30128e-05,9.30128e-05,9.30128e-05
14,2001.11,1.10768,3.73746,1.15756,0.01699,0.14806,0.0499,0.03903,1.22051,4.04309,1.24032,9.05972e-05,9.05972e-05,9.05972e-05
15,2147.44,1.14421,3.67916,1.20591,0.02301,0.18362,0.07775,0.06431,1.22756,3.98319,1.25329,8.81816e-05,8.81816e-05,8.81816e-05
16,2295.82,1.10936,3.54948,1.17524,0.02208,0.20074,0.10282,0.08521,1.24176,3.87235,1.26805,8.5766e-05,8.5766e-05,8.5766e-05
17,2438.23,1.11466,3.67285,1.16631,0.16237,0.15186,0.1054,0.08572,1.24581,3.78431,1.27057,8.33504e-05,8.33504e-05,8.33504e-05
18,2581.47,1.05778,3.4615,1.1561,0.7591,0.0542,0.11732,0.09664,1.24858,3.71819,1.27841,8.09348e-05,8.09348e-05,8.09348e-05
19,2718.81,1.07973,3.40497,1.15861,0.75889,0.05251,0.11133,0.08902,1.25516,3.65176,1.28419,7.85192e-05,7.85192e-05,7.85192e-05
20,2865.22,1.09227,3.28593,1.16403,0.77083,0.06179,0.12716,0.10318,1.25465,3.56838,1.28793,7.61036e-05,7.61036e-05,7.61036e-05
21,3003.95,1.08029,3.17374,1.14822,0.78369,0.06212,0.13555,0.10887,1.25236,3.51958,1.28241,7.3688e-05,7.3688e-05,7.3688e-05
22,3145.71,1.11342,3.23162,1.1615,0.73328,0.07971,0.16135,0.13167,1.24985,3.45783,1.2827,7.12724e-05,7.12724e-05,7.12724e-05
23,3287.93,1.08918,3.04704,1.13556,0.74638,0.10236,0.16839,0.13733,1.25839,3.42372,1.28735,6.88568e-05,6.88568e-05,6.88568e-05
24,3434.56,1.10065,3.01564,1.14823,0.74065,0.09939,0.17683,0.14178,1.27248,3.36881,1.2986,6.64412e-05,6.64412e-05,6.64412e-05
25,3578.33,1.13971,2.89674,1.17506,0.68122,0.1014,0.18057,0.14709,1.28682,3.35733,1.30793,6.40256e-05,6.40256e-05,6.40256e-05
26,3715.7,1.12206,2.95382,1.15614,0.65463,0.12693,0.17992,0.14772,1.28393,3.34441,1.31226,6.161e-05,6.161e-05,6.161e-05
27,3852.89,1.0696,2.9048,1.16082,0.65503,0.13394,0.18333,0.15042,1.27634,3.33311,1.30805,5.91944e-05,5.91944e-05,5.91944e-05
28,3996.35,1.06515,2.90475,1.15685,0.67621,0.13522,0.18262,0.14925,1.28112,3.33685,1.3146,5.67788e-05,5.67788e-05,5.67788e-05
29,4134.6,1.073,2.85909,1.1688,0.67621,0.13536,0.18466,0.15069,1.27407,3.32804,1.30724,5.43632e-05,5.43632e-05,5.43632e-05
30,4280.71,1.0666,2.87262,1.13576,0.71143,0.13555,0.18799,0.15199,1.27259,3.32098,1.3059,5.19476e-05,5.19476e-05,5.19476e-05
31,4423.08,1.11114,2.76225,1.14992,0.70708,0.14205,0.19215,0.15419,1.27221,3.31219,1.30387,4.9532e-05,4.9532e-05,4.9532e-05
32,4566.94,1.10374,2.69318,1.16975,0.71092,0.14071,0.19575,0.15774,1.26219,3.2707,1.29291,4.71164e-05,4.71164e-05,4.71164e-05
33,4711.36,1.09122,2.72243,1.1437,0.71312,0.13827,0.1982,0.15863,1.25533,3.25604,1.28738,4.47008e-05,4.47008e-05,4.47008e-05
34,4858.33,1.06546,2.63743,1.14727,0.71332,0.13798,0.20302,0.16406,1.2571,3.2515,1.28731,4.22852e-05,4.22852e-05,4.22852e-05
